filepath,label
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_66ccf519-5e6e-4111-9d0d-6485aa0f2ed0.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_f6ff81be-5730-43a3-9677-1391334dfc92.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_2f5b9c9d-6775-41e7-b893-a5898a8cb005.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_7388d74a-a585-40fa-8080-460c8d5c2f0c.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/injured/play_beba3720-3be6-4452-ac84-ffa9f0366a10.mp4,1
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_fd795439-664b-4805-adce-9f910bf5b3ac.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_a59b0646-1168-4afb-b48d-dc1a08221037.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_7094a783-cd45-4068-9259-10422efb3d8a.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_1104c329-6c02-47c4-a613-8cab9b2035ec.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_fe9390c6-a817-49c4-aeb0-c1b841cd2d87.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_1b299e28-6edc-419c-b810-adc2d2623e58.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/injured/play_affa31d2-1686-4fa1-8e09-b7182e487233.mp4,1
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/injured/play_0a32c8ab-7318-4b7a-b8e8-a1cc75e7a74f.mp4,1
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_ffdae802-583e-4247-a323-20c709b51bf0.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_de740871-289e-4187-90cc-c04a4d69d9b7.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_29db3aa8-f059-4822-8a5b-bbd624dea008.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_d107fdc7-f923-4af5-889d-10403f6463d6.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/injured/play_dc2f2b6b-ffa2-4013-88be-bbf89774f276.mp4,1
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_121f6dae-ef79-406f-b69b-b2b953029409.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_790db182-920e-4ec0-a499-135462ffaa39.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_e6a2899e-fb9c-4ffc-b75d-784cbe301dc0.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_beaaaa65-6918-4bdf-9662-78c857e6dcd0.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_abd5d45c-74c1-4cca-b1d0-6856e4bcde8f.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_ec91da02-3711-4e78-9a2d-2da70765241e.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/injured/play_4f004658-4f89-44dd-a985-8e203cdc61e6.mp4,1
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_361e51b4-48f4-473c-9423-491565261780.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_94809f05-87f0-429a-a2aa-a4b49edf29de.mp4,0
/Users/cameronburton/Desktop/CS230_Final_Project/Final_Dataset/healthy/play_400aa0f5-9099-4088-a11e-58da4bcd79ab.mp4,0
